ch.qos.logback/logback-classic,ch.qos.logback/logback-classic/1.2.3
com.fasterxml.jackson.core/jackson-databind,com.fasterxml.jackson.core/jackson-databind/2.9.8
com.spotify/flo-runner,com.spotify/flo-runner/0.5.8
org.slf4j/slf4j-api,org.slf4j/slf4j-api/1.7.25
org.slf4j/jul-to-slf4j,org.slf4j/jul-to-slf4j/1.7.25
com.google.auto.service/auto-service,com.google.auto.service/auto-service/1.0-rc3
io.norberg/auto-matter,io.norberg/auto-matter/0.15.0
com.github.stefanbirkner/system-rules,com.github.stefanbirkner/system-rules/1.18.0
io.norberg/auto-matter-jackson,io.norberg/auto-matter-jackson/0.15.0
pl.pragmatists/JUnitParams,pl.pragmatists/JUnitParams/1.1.1
