antlr/antlr,antlr/antlr/2.7.7
com.fasterxml.jackson.module/jackson-module-scala_2.10,com.fasterxml.jackson.module/jackson-module-scala_2.10/2.8.11
com.fasterxml.jackson.module/jackson-module-scala_2.11,com.fasterxml.jackson.module/jackson-module-scala_2.11/2.8.11
com.fasterxml.jackson.module/jackson-module-scala_2.12,com.fasterxml.jackson.module/jackson-module-scala_2.12/2.8.11
com.gemstone.gemfire/gemfire,com.gemstone.gemfire/gemfire/8.2.1
com.github.ben-manes.caffeine/caffeine,com.github.ben-manes.caffeine/caffeine/2.3.5
com.github.mxab.thymeleaf.extras/thymeleaf-extras-data-attribute,com.github.mxab.thymeleaf.extras/thymeleaf-extras-data-attribute/1.3
com.google.appengine/appengine-api-1.0-sdk,com.google.appengine/appengine-api-1.0-sdk/1.9.63
com.google.code.gson/gson,com.google.code.gson/gson/2.8.2
com.googlecode.json-simple/json-simple,com.googlecode.json-simple/json-simple/1.1.1
com.h2database/h2,com.h2database/h2/1.4.197
com.hazelcast/hazelcast,com.hazelcast/hazelcast/3.7.8
com.hazelcast/hazelcast-client,com.hazelcast/hazelcast-client/3.7.8
com.hazelcast/hazelcast-hibernate4,com.hazelcast/hazelcast-hibernate4/3.7.1
com.hazelcast/hazelcast-hibernate5,com.hazelcast/hazelcast-hibernate5/1.1.3
com.hazelcast/hazelcast-spring,com.hazelcast/hazelcast-spring/3.7.8
com.jayway.jsonpath/json-path,com.jayway.jsonpath/json-path/2.2.0
com.jayway.jsonpath/json-path-assert,com.jayway.jsonpath/json-path-assert/2.2.0
com.microsoft.sqlserver/mssql-jdbc,com.microsoft.sqlserver/mssql-jdbc/6.1.0.jre7
com.querydsl/querydsl-apt,com.querydsl/querydsl-apt/4.1.4
com.querydsl/querydsl-collections,com.querydsl/querydsl-collections/4.1.4
com.querydsl/querydsl-core,com.querydsl/querydsl-core/4.1.4
com.querydsl/querydsl-jpa,com.querydsl/querydsl-jpa/4.1.4
com.querydsl/querydsl-mongodb,com.querydsl/querydsl-mongodb/4.1.4
com.samskivert/jmustache,com.samskivert/jmustache/1.13
com.sendgrid/sendgrid-java,com.sendgrid/sendgrid-java/2.2.2
com.sun.mail/javax.mail,com.sun.mail/javax.mail/1.5.6
com.timgroup/java-statsd-client,com.timgroup/java-statsd-client/3.1.0
