org.apache.camel/apt,org.apache.camel/apt/3.0.0-RC1
org.apache.camel/camel-couchbase,org.apache.camel/camel-couchbase/3.0.0-RC1
org.apache.camel/camel-couchdb,org.apache.camel/camel-couchdb/3.0.0-RC1
org.apache.camel/camel-crypto,org.apache.camel/camel-crypto/3.0.0-RC1
org.apache.camel/camel-crypto-cms,org.apache.camel/camel-crypto-cms/3.0.0-RC1
org.apache.camel/camel-csv,org.apache.camel/camel-csv/3.0.0-RC1
org.apache.camel/camel-cxf,org.apache.camel/camel-cxf/3.0.0-RC1
org.apache.camel/camel-cxf-transport,org.apache.camel/camel-cxf-transport/3.0.0-RC1
org.apache.camel/camel-dataformat,org.apache.camel/camel-dataformat/3.0.0-RC1
org.apache.camel/camel-dataset,org.apache.camel/camel-dataset/3.0.0-RC1
org.apache.camel/camel-digitalocean,org.apache.camel/camel-digitalocean/3.0.0-RC1
org.apache.camel/camel-direct,org.apache.camel/camel-direct/3.0.0-RC1
org.apache.camel/camel-directvm,org.apache.camel/camel-directvm/3.0.0-RC1
org.apache.camel/camel-disruptor,org.apache.camel/camel-disruptor/3.0.0-RC1
org.apache.camel/camel-dns,org.apache.camel/camel-dns/3.0.0-RC1
org.apache.camel/camel-docker,org.apache.camel/camel-docker/3.0.0-RC1
org.apache.camel/camel-dozer,org.apache.camel/camel-dozer/3.0.0-RC1
org.apache.camel/camel-drill,org.apache.camel/camel-drill/3.0.0-RC1
org.apache.camel/camel-dropbox,org.apache.camel/camel-dropbox/3.0.0-RC1
org.apache.camel/camel-ehcache,org.apache.camel/camel-ehcache/3.0.0-RC1
org.apache.camel/camel-elasticsearch-rest,org.apache.camel/camel-elasticsearch-rest/3.0.0-RC1
org.apache.camel/camel-elsql,org.apache.camel/camel-elsql/3.0.0-RC1
org.apache.camel/camel-etcd,org.apache.camel/camel-etcd/3.0.0-RC1
org.apache.camel/camel-eventadmin,org.apache.camel/camel-eventadmin/3.0.0-RC1
org.apache.camel/camel-exec,org.apache.camel/camel-exec/3.0.0-RC1
org.apache.camel/camel-facebook,org.apache.camel/camel-facebook/3.0.0-RC1
org.apache.camel/camel-fastjson,org.apache.camel/camel-fastjson/3.0.0-RC1
org.apache.camel/camel-fhir,org.apache.camel/camel-fhir/3.0.0-RC1
org.apache.camel/camel-fhir-api,org.apache.camel/camel-fhir-api/3.0.0-RC1
org.apache.camel/camel-file,org.apache.camel/camel-file/3.0.0-RC1
org.apache.camel/camel-file-watch,org.apache.camel/camel-file-watch/3.0.0-RC1
org.apache.camel/camel-flatpack,org.apache.camel/camel-flatpack/3.0.0-RC1
org.apache.camel/camel-flink,org.apache.camel/camel-flink/3.0.0-RC1
org.apache.camel/camel-fop,org.apache.camel/camel-fop/3.0.0-RC1
org.apache.camel/camel-freemarker,org.apache.camel/camel-freemarker/3.0.0-RC1
org.apache.camel/camel-ftp,org.apache.camel/camel-ftp/3.0.0-RC1
org.apache.camel/camel-ganglia,org.apache.camel/camel-ganglia/3.0.0-RC1
org.apache.camel/camel-geocoder,org.apache.camel/camel-geocoder/3.0.0-RC1
org.apache.camel/camel-git,org.apache.camel/camel-git/3.0.0-RC1
org.apache.camel/camel-github,org.apache.camel/camel-github/3.0.0-RC1
org.apache.camel/camel-google-bigquery,org.apache.camel/camel-google-bigquery/3.0.0-RC1
org.apache.camel/camel-google-calendar,org.apache.camel/camel-google-calendar/3.0.0-RC1
org.apache.camel/camel-google-drive,org.apache.camel/camel-google-drive/3.0.0-RC1
org.apache.camel/camel-google-mail,org.apache.camel/camel-google-mail/3.0.0-RC1
org.apache.camel/camel-google-pubsub,org.apache.camel/camel-google-pubsub/3.0.0-RC1
org.apache.camel/camel-google-sheets,org.apache.camel/camel-google-sheets/3.0.0-RC1
org.apache.camel/camel-gora,org.apache.camel/camel-gora/3.0.0-RC1
org.apache.camel/camel-grape,org.apache.camel/camel-grape/3.0.0-RC1
org.apache.camel/camel-grok,org.apache.camel/camel-grok/3.0.0-RC1
org.apache.camel/camel-groovy,org.apache.camel/camel-groovy/3.0.0-RC1
org.apache.camel/camel-grpc,org.apache.camel/camel-grpc/3.0.0-RC1
org.apache.camel/camel-gson,org.apache.camel/camel-gson/3.0.0-RC1
org.apache.camel/camel-guava-eventbus,org.apache.camel/camel-guava-eventbus/3.0.0-RC1
org.apache.camel/camel-hazelcast,org.apache.camel/camel-hazelcast/3.0.0-RC1
org.apache.camel/camel-hbase,org.apache.camel/camel-hbase/3.0.0-RC1
org.apache.camel/camel-hdfs,org.apache.camel/camel-hdfs/3.0.0-RC1
org.apache.camel/camel-hipchat,org.apache.camel/camel-hipchat/3.0.0-RC1
org.apache.camel/camel-hl7,org.apache.camel/camel-hl7/3.0.0-RC1
org.apache.camel/camel-http,org.apache.camel/camel-http/3.0.0-RC1
org.apache.camel/camel-http-common,org.apache.camel/camel-http-common/3.0.0-RC1
org.apache.camel/camel-hystrix,org.apache.camel/camel-hystrix/3.0.0-RC1
org.apache.camel/camel-ical,org.apache.camel/camel-ical/3.0.0-RC1
org.apache.camel/camel-iec60870,org.apache.camel/camel-iec60870/3.0.0-RC1
org.apache.camel/camel-ignite,org.apache.camel/camel-ignite/3.0.0-RC1
org.apache.camel/camel-infinispan,org.apache.camel/camel-infinispan/3.0.0-RC1
org.apache.camel/camel-influxdb,org.apache.camel/camel-influxdb/3.0.0-RC1
org.apache.camel/camel-iota,org.apache.camel/camel-iota/3.0.0-RC1
org.apache.camel/camel-ipfs,org.apache.camel/camel-ipfs/3.0.0-RC1
org.apache.camel/camel-irc,org.apache.camel/camel-irc/3.0.0-RC1
org.apache.camel/camel-ironmq,org.apache.camel/camel-ironmq/3.0.0-RC1
org.apache.camel/camel-jackson,org.apache.camel/camel-jackson/3.0.0-RC1
org.apache.camel/camel-jacksonxml,org.apache.camel/camel-jacksonxml/3.0.0-RC1
org.apache.camel/camel-jasypt,org.apache.camel/camel-jasypt/3.0.0-RC1
org.apache.camel/camel-jaxb,org.apache.camel/camel-jaxb/3.0.0-RC1
org.apache.camel/camel-jbpm,org.apache.camel/camel-jbpm/3.0.0-RC1
org.apache.camel/camel-jcache,org.apache.camel/camel-jcache/3.0.0-RC1
org.apache.camel/camel-jclouds,org.apache.camel/camel-jclouds/3.0.0-RC1
org.apache.camel/camel-jcr,org.apache.camel/camel-jcr/3.0.0-RC1
org.apache.camel/camel-jdbc,org.apache.camel/camel-jdbc/3.0.0-RC1
org.apache.camel/camel-jetty,org.apache.camel/camel-jetty/3.0.0-RC1
org.apache.camel/camel-jetty-common,org.apache.camel/camel-jetty-common/3.0.0-RC1
org.apache.camel/camel-jgroups,org.apache.camel/camel-jgroups/3.0.0-RC1
org.apache.camel/camel-jgroups-raft,org.apache.camel/camel-jgroups-raft/3.0.0-RC1
org.apache.camel/camel-jing,org.apache.camel/camel-jing/3.0.0-RC1
org.apache.camel/camel-jira,org.apache.camel/camel-jira/3.0.0-RC1
org.apache.camel/camel-jms,org.apache.camel/camel-jms/3.0.0-RC1
org.apache.camel/camel-jmx,org.apache.camel/camel-jmx/3.0.0-RC1
org.apache.camel/camel-johnzon,org.apache.camel/camel-johnzon/3.0.0-RC1
org.apache.camel/camel-jolt,org.apache.camel/camel-jolt/3.0.0-RC1
org.apache.camel/camel-jooq,org.apache.camel/camel-jooq/3.0.0-RC1
org.apache.camel/camel-jpa,org.apache.camel/camel-jpa/3.0.0-RC1
org.apache.camel/camel-jsch,org.apache.camel/camel-jsch/3.0.0-RC1
org.apache.camel/camel-json-validator,org.apache.camel/camel-json-validator/3.0.0-RC1
org.apache.camel/camel-jsonapi,org.apache.camel/camel-jsonapi/3.0.0-RC1
org.apache.camel/camel-jsonpath,org.apache.camel/camel-jsonpath/3.0.0-RC1
org.apache.camel/camel-jt400,org.apache.camel/camel-jt400/3.0.0-RC1
org.apache.camel/camel-kafka,org.apache.camel/camel-kafka/3.0.0-RC1
org.apache.camel/camel-kubernetes,org.apache.camel/camel-kubernetes/3.0.0-RC1
org.apache.camel/camel-kura,org.apache.camel/camel-kura/3.0.0-RC1
org.apache.camel/camel-language,org.apache.camel/camel-language/3.0.0-RC1
org.apache.camel/camel-ldap,org.apache.camel/camel-ldap/3.0.0-RC1
org.apache.camel/camel-ldif,org.apache.camel/camel-ldif/3.0.0-RC1
org.apache.camel/camel-leveldb,org.apache.camel/camel-leveldb/3.0.0-RC1
org.apache.camel/camel-linkedin,org.apache.camel/camel-linkedin/3.0.0-RC1
org.apache.camel/camel-linkedin-api,org.apache.camel/camel-linkedin-api/3.0.0-RC1
org.apache.camel/camel-log,org.apache.camel/camel-log/3.0.0-RC1
org.apache.camel/camel-lra,org.apache.camel/camel-lra/3.0.0-RC1
org.apache.camel/camel-lucene,org.apache.camel/camel-lucene/3.0.0-RC1
org.apache.camel/camel-lumberjack,org.apache.camel/camel-lumberjack/3.0.0-RC1
org.apache.camel/camel-lzf,org.apache.camel/camel-lzf/3.0.0-RC1
org.apache.camel/camel-mail,org.apache.camel/camel-mail/3.0.0-RC1
org.apache.camel/camel-master,org.apache.camel/camel-master/3.0.0-RC1
org.apache.camel/camel-metrics,org.apache.camel/camel-metrics/3.0.0-RC1
org.apache.camel/camel-micrometer,org.apache.camel/camel-micrometer/3.0.0-RC1
org.apache.camel/camel-microprofile-config,org.apache.camel/camel-microprofile-config/3.0.0-RC1
org.apache.camel/camel-microprofile-metrics,org.apache.camel/camel-microprofile-metrics/3.0.0-RC1
org.apache.camel/camel-milo,org.apache.camel/camel-milo/3.0.0-RC1
org.apache.camel/camel-mina,org.apache.camel/camel-mina/3.0.0-RC1
org.apache.camel/camel-mllp,org.apache.camel/camel-mllp/3.0.0-RC1
org.apache.camel/camel-mock,org.apache.camel/camel-mock/3.0.0-RC1
org.apache.camel/camel-mongodb,org.apache.camel/camel-mongodb/3.0.0-RC1
org.apache.camel/camel-mongodb-gridfs,org.apache.camel/camel-mongodb-gridfs/3.0.0-RC1
org.apache.camel/camel-mqtt,org.apache.camel/camel-mqtt/3.0.0-RC1
org.apache.camel/camel-msv,org.apache.camel/camel-msv/3.0.0-RC1
org.apache.camel/camel-mustache,org.apache.camel/camel-mustache/3.0.0-RC1
org.apache.camel/camel-mvel,org.apache.camel/camel-mvel/3.0.0-RC1
org.apache.camel/camel-mybatis,org.apache.camel/camel-mybatis/3.0.0-RC1
org.apache.camel/camel-nagios,org.apache.camel/camel-nagios/3.0.0-RC1
org.apache.camel/camel-nats,org.apache.camel/camel-nats/3.0.0-RC1
org.apache.camel/camel-netty,org.apache.camel/camel-netty/3.0.0-RC1
org.apache.camel/camel-netty-http,org.apache.camel/camel-netty-http/3.0.0-RC1
org.apache.camel/camel-nsq,org.apache.camel/camel-nsq/3.0.0-RC1
org.apache.camel/camel-ognl,org.apache.camel/camel-ognl/3.0.0-RC1
org.apache.camel/camel-olingo2,org.apache.camel/camel-olingo2/3.0.0-RC1
org.apache.camel/camel-olingo2-api,org.apache.camel/camel-olingo2-api/3.0.0-RC1
org.apache.camel/camel-olingo4,org.apache.camel/camel-olingo4/3.0.0-RC1
org.apache.camel/camel-olingo4-api,org.apache.camel/camel-olingo4-api/3.0.0-RC1
org.apache.camel/camel-openstack,org.apache.camel/camel-openstack/3.0.0-RC1
org.apache.camel/camel-opentracing,org.apache.camel/camel-opentracing/3.0.0-RC1
org.apache.camel/camel-optaplanner,org.apache.camel/camel-optaplanner/3.0.0-RC1
org.apache.camel/camel-paho,org.apache.camel/camel-paho/3.0.0-RC1
org.apache.camel/camel-paxlogging,org.apache.camel/camel-paxlogging/3.0.0-RC1
org.apache.camel/camel-pdf,org.apache.camel/camel-pdf/3.0.0-RC1
org.apache.camel/camel-pg-replication-slot,org.apache.camel/camel-pg-replication-slot/3.0.0-RC1
org.apache.camel/camel-pgevent,org.apache.camel/camel-pgevent/3.0.0-RC1
org.apache.camel/camel-printer,org.apache.camel/camel-printer/3.0.0-RC1
org.apache.camel/camel-properties,org.apache.camel/camel-properties/3.0.0-RC1
org.apache.camel/camel-protobuf,org.apache.camel/camel-protobuf/3.0.0-RC1
org.apache.camel/camel-pubnub,org.apache.camel/camel-pubnub/3.0.0-RC1
org.apache.camel/camel-pulsar,org.apache.camel/camel-pulsar/3.0.0-RC1
org.apache.camel/camel-quartz,org.apache.camel/camel-quartz/3.0.0-RC1
org.apache.camel/camel-quickfix,org.apache.camel/camel-quickfix/3.0.0-RC1
org.apache.camel/camel-rabbitmq,org.apache.camel/camel-rabbitmq/3.0.0-RC1
org.apache.camel/camel-reactive-executor-vertx,org.apache.camel/camel-reactive-executor-vertx/3.0.0-RC1
org.apache.camel/camel-reactive-streams,org.apache.camel/camel-reactive-streams/3.0.0-RC1
org.apache.camel/camel-reactor,org.apache.camel/camel-reactor/3.0.0-RC1
org.apache.camel/camel-ref,org.apache.camel/camel-ref/3.0.0-RC1
org.apache.camel/camel-rest,org.apache.camel/camel-rest/3.0.0-RC1
org.apache.camel/camel-rest-swagger,org.apache.camel/camel-rest-swagger/3.0.0-RC1
org.apache.camel/camel-restlet,org.apache.camel/camel-restlet/3.0.0-RC1
org.apache.camel/camel-ribbon,org.apache.camel/camel-ribbon/3.0.0-RC1
org.apache.camel/camel-rss,org.apache.camel/camel-rss/3.0.0-RC1
org.apache.camel/camel-rxjava,org.apache.camel/camel-rxjava/3.0.0-RC1
org.apache.camel/camel-saga,org.apache.camel/camel-saga/3.0.0-RC1
org.apache.camel/camel-salesforce,org.apache.camel/camel-salesforce/3.0.0-RC1
org.apache.camel/camel-sap-netweaver,org.apache.camel/camel-sap-netweaver/3.0.0-RC1
org.apache.camel/camel-saxon,org.apache.camel/camel-saxon/3.0.0-RC1
org.apache.camel/camel-scheduler,org.apache.camel/camel-scheduler/3.0.0-RC1
org.apache.camel/camel-schematron,org.apache.camel/camel-schematron/3.0.0-RC1
org.apache.camel/camel-seda,org.apache.camel/camel-seda/3.0.0-RC1
org.apache.camel/camel-service,org.apache.camel/camel-service/3.0.0-RC1
org.apache.camel/camel-servicenow,org.apache.camel/camel-servicenow/3.0.0-RC1
org.apache.camel/camel-servlet,org.apache.camel/camel-servlet/3.0.0-RC1
org.apache.camel/camel-shiro,org.apache.camel/camel-shiro/3.0.0-RC1
org.apache.camel/camel-sip,org.apache.camel/camel-sip/3.0.0-RC1
org.apache.camel/camel-sjms,org.apache.camel/camel-sjms/3.0.0-RC1
org.apache.camel/camel-sjms2,org.apache.camel/camel-sjms2/3.0.0-RC1
org.apache.camel/camel-slack,org.apache.camel/camel-slack/3.0.0-RC1
org.apache.camel/camel-smpp,org.apache.camel/camel-smpp/3.0.0-RC1
org.apache.camel/camel-snakeyaml,org.apache.camel/camel-snakeyaml/3.0.0-RC1
org.apache.camel/camel-snmp,org.apache.camel/camel-snmp/3.0.0-RC1
org.apache.camel/camel-soap,org.apache.camel/camel-soap/3.0.0-RC1
org.apache.camel/camel-solr,org.apache.camel/camel-solr/3.0.0-RC1
org.apache.camel/camel-soroush,org.apache.camel/camel-soroush/3.0.0-RC1
org.apache.camel/camel-spark,org.apache.camel/camel-spark/3.0.0-RC1
org.apache.camel/camel-spark-rest,org.apache.camel/camel-spark-rest/3.0.0-RC1
org.apache.camel/camel-splunk,org.apache.camel/camel-splunk/3.0.0-RC1
org.apache.camel/camel-spring,org.apache.camel/camel-spring/3.0.0-RC1
org.apache.camel/camel-spring-batch,org.apache.camel/camel-spring-batch/3.0.0-RC1
org.apache.camel/camel-spring-boot,org.apache.camel/camel-spring-boot/3.0.0-RC1
org.apache.camel/camel-spring-cloud,org.apache.camel/camel-spring-cloud/3.0.0-RC1
org.apache.camel/camel-spring-cloud-consul,org.apache.camel/camel-spring-cloud-consul/3.0.0-RC1
org.apache.camel/camel-spring-cloud-netflix,org.apache.camel/camel-spring-cloud-netflix/3.0.0-RC1
org.apache.camel/camel-spring-cloud-zookeeper,org.apache.camel/camel-spring-cloud-zookeeper/3.0.0-RC1
org.apache.camel/camel-spring-integration,org.apache.camel/camel-spring-integration/3.0.0-RC1
org.apache.camel/camel-spring-javaconfig,org.apache.camel/camel-spring-javaconfig/3.0.0-RC1
org.apache.camel/camel-spring-ldap,org.apache.camel/camel-spring-ldap/3.0.0-RC1
org.apache.camel/camel-spring-redis,org.apache.camel/camel-spring-redis/3.0.0-RC1
org.apache.camel/camel-spring-security,org.apache.camel/camel-spring-security/3.0.0-RC1
