com.squareup/javapoet,com.squareup/javapoet/1.9.0
com.google.auto.service/auto-service,com.google.auto.service/auto-service/1.0-rc3
com.google.code.gson/gson,com.google.code.gson/gson/2.8.1
com.masum.dialogboot/dialogboot-annotations,com.masum.dialogboot/dialogboot-annotations/1.4.5
