commons-codec/commons-codec,commons-codec/commons-codec/1.5
org.codehaus.groovy/groovy,org.codehaus.groovy/groovy/2.4.11
org.grails/grails-web,org.grails/grails-web/3.2.11
org.grails/grails-async,org.grails/grails-async/3.2.11
org.grails/grails-core,org.grails/grails-core/3.2.11
org.grails/grails-plugin-converters,org.grails/grails-plugin-converters/3.2.11
junit/junit,junit/junit/4.12
org.codehaus.groovy/groovy-test,org.codehaus.groovy/groovy-test/2.4.11
org.spockframework/spock-core,org.spockframework/spock-core/1.0-groovy-2.4
org.springframework/spring-test,org.springframework/spring-test/4.3.14.RELEASE
