io.micrometer/micrometer-core,io.micrometer/micrometer-core/1.2.0
org.springframework.boot/spring-boot-starter,org.springframework.boot/spring-boot-starter/2.2.0.M5
org.springframework.boot/spring-boot-actuator-autoconfigure,org.springframework.boot/spring-boot-actuator-autoconfigure/2.2.0.M5
