com.cosium.logging/annotation-processor-logger,com.cosium.logging/annotation-processor-logger/1.0
io.swagger/swagger-core,io.swagger/swagger-core/1.5.16
io.swagger/swagger-codegen,io.swagger/swagger-codegen/2.3.1
org.apache.commons/commons-lang3,org.apache.commons/commons-lang3/3.3.2
org.apache.commons/commons-io,org.apache.commons/commons-io/1.3.2
org.springframework/spring-webmvc,org.springframework/spring-webmvc/5.1.0.RELEASE
com.google.auto.service/auto-service,com.google.auto.service/auto-service/1.0-rc3
org.immutables/value,org.immutables/value/2.3.9
com.google.testing.compile/compile-testing,com.google.testing.compile/compile-testing/0.15
org.assertj/assertj-core,org.assertj/assertj-core/3.5.2
