com.atomikos/transactions-jdbc,com.atomikos/transactions-jdbc/3.9.3
org.springframework.social/spring-social-config,org.springframework.social/spring-social-config/1.1.6.RELEASE
org.springframework.social/spring-social-core,org.springframework.social/spring-social-core/1.1.6.RELEASE
org.springframework.social/spring-social-web,org.springframework.social/spring-social-web/1.1.6.RELEASE
org.springframework.social/spring-social-facebook,org.springframework.social/spring-social-facebook/2.0.3.RELEASE
org.springframework.social/spring-social-twitter,org.springframework.social/spring-social-twitter/1.1.2.RELEASE
org.springframework.social/spring-social-linkedin,org.springframework.social/spring-social-linkedin/1.0.2.RELEASE
org.springframework.ws/spring-ws-core,org.springframework.ws/spring-ws-core/2.4.2.RELEASE
org.thymeleaf/thymeleaf,org.thymeleaf/thymeleaf/2.1.6.RELEASE
org.thymeleaf/thymeleaf-spring4,org.thymeleaf/thymeleaf-spring4/2.1.6.RELEASE
org.thymeleaf.extras/thymeleaf-extras-conditionalcomments,org.thymeleaf.extras/thymeleaf-extras-conditionalcomments/2.1.2.RELEASE
org.thymeleaf.extras/thymeleaf-extras-java8time,org.thymeleaf.extras/thymeleaf-extras-java8time/2.1.0.RELEASE
org.thymeleaf.extras/thymeleaf-extras-springsecurity4,org.thymeleaf.extras/thymeleaf-extras-springsecurity4/2.1.3.RELEASE
redis.clients/jedis,redis.clients/jedis/2.9.0
ch.qos.logback/logback-classic,ch.qos.logback/logback-classic/1.1.11
com.atomikos/transactions-jms,com.atomikos/transactions-jms/3.9.3
mysql/mysql-connector-java,mysql/mysql-connector-java/5.1.46
org.apache.tomcat.embed/tomcat-embed-websocket,org.apache.tomcat.embed/tomcat-embed-websocket/8.5.29
org.apache.tomcat.embed/tomcat-embed-jasper,org.apache.tomcat.embed/tomcat-embed-jasper/8.5.29
org.hsqldb/hsqldb,org.hsqldb/hsqldb/2.3.5
org.springframework/spring-test,org.springframework.boot
org.springframework.boot/spring-boot-test-support,org.springframework.boot/spring-boot-test-support/1.5.21.RELEASE
org.springframework.boot/spring-boot-test,org.springframework.boot/spring-boot-test/1.5.12.RELEASE
org.springframework.kafka/spring-kafka-test,org.springframework.kafka/spring-kafka-test/1.1.8.RELEASE
org.springframework.security/spring-security-test,org.yaml
