com.beust/jcommander,com.beust/jcommander/1.72
com.google.auto.service/auto-service,com.google.auto.service/auto-service/1.0-rc5
com.google.guava/guava,com.google.guava/guava/28.0-jre
commons-io/commons-io,commons-io/commons-io/2.6
org.apache.accumulo/accumulo-core,org.apache.accumulo/accumulo-core/2.0.0
org.apache.accumulo/accumulo-gc,org.apache.accumulo/accumulo-gc/2.0.0
org.apache.accumulo/accumulo-master,org.apache.accumulo/accumulo-master/2.0.0
org.apache.accumulo/accumulo-monitor,org.apache.accumulo/accumulo-monitor/2.0.0
org.apache.accumulo/accumulo-server-base,org.apache.accumulo/accumulo-server-base/2.0.0
org.apache.accumulo/accumulo-start,org.apache.accumulo/accumulo-start/2.0.0
org.apache.accumulo/accumulo-tracer,org.apache.accumulo/accumulo-tracer/2.0.0
org.apache.accumulo/accumulo-tserver,org.apache.accumulo/accumulo-tserver/2.0.0
org.apache.commons/commons-configuration2,org.apache.commons/commons-configuration2/2.5
org.apache.commons/commons-lang3,org.apache.commons/commons-lang3/3.9
org.apache.hadoop/hadoop-client-api,org.apache.hadoop/hadoop-client-api/3.1.1
org.apache.hadoop/hadoop-client-minicluster,org.apache.hadoop/hadoop-client-minicluster/3.1.1
org.apache.thrift/libthrift,org.apache.thrift/libthrift/0.12.0
org.apache.zookeeper/zookeeper,org.apache.zookeeper/zookeeper/3.4.14
org.slf4j/slf4j-api,org.slf4j/slf4j-api/1.7.26
org.apache.hadoop/hadoop-client-runtime,org.apache.hadoop/hadoop-client-runtime/3.1.1
junit/junit,junit/junit/4.12
org.apache.curator/curator-framework,org.apache.curator/curator-framework/2.12.0
org.apache.curator/curator-test,org.apache.curator/curator-test/2.12.0
org.easymock/easymock,org.easymock/easymock/4.0.2
org.slf4j/slf4j-log4j12,org.slf4j/slf4j-log4j12/1.7.26
