ch.qos.logback/logback-classic,ch.qos.logback/logback-classic/1.2.3
io.dropwizard.metrics/metrics-core,io.dropwizard.metrics/metrics-core/3.2.6
io.dropwizard.metrics/metrics-graphite,io.dropwizard.metrics/metrics-graphite/3.2.6
io.engineblock/eb-api,io.engineblock/eb-api/2.11.34
org.apache.commons/commons-text,org.apache.commons/commons-text/1.1
org.apache.commons/commons-lang3,org.apache.commons/commons-lang3/3.7
org.mpierce.metrics.reservoir/hdrhistogram-metrics-reservoir,org.mpierce.metrics.reservoir/hdrhistogram-metrics-reservoir/1.1.0
org.assertj/assertj-core-java8,org.assertj/assertj-core-java8/1.0.0m1
org.testng/testng,org.testng/testng/6.13.1
