com.beust/jcommander,com.beust/jcommander/1.72
com.google.auto.service/auto-service,com.google.auto.service/auto-service/1.0-rc5
com.google.code.gson/gson,com.google.code.gson/gson/2.8.5
com.google.guava/guava,com.google.guava/guava/28.0-jre
com.google.protobuf/protobuf-java,com.google.protobuf/protobuf-java/3.7.1
commons-cli/commons-cli,commons-cli/commons-cli/1.4
commons-io/commons-io,commons-io/commons-io/2.6
jline/jline,jline/jline/2.11
junit/junit,junit/junit/4.12
log4j/log4j,log4j/log4j/1.2.17
org.apache.accumulo/accumulo-core,org.apache.accumulo/accumulo-core/2.0.0
org.apache.accumulo/accumulo-gc,org.apache.accumulo/accumulo-gc/2.0.0
org.apache.accumulo/accumulo-master,org.apache.accumulo/accumulo-master/2.0.0
org.apache.accumulo/accumulo-minicluster,org.apache.accumulo/accumulo-minicluster/2.0.0
org.apache.accumulo/accumulo-monitor,org.apache.accumulo/accumulo-monitor/2.0.0
org.apache.accumulo/accumulo-native,org.apache.accumulo/accumulo-native/2.0.0
org.apache.accumulo/accumulo-server-base,org.apache.accumulo/accumulo-server-base/2.0.0
org.apache.accumulo/accumulo-shell,org.apache.accumulo/accumulo-shell/2.0.0
org.apache.accumulo/accumulo-start,org.apache.accumulo/accumulo-start/2.0.0
org.apache.accumulo/accumulo-tracer,org.apache.accumulo/accumulo-tracer/2.0.0
org.apache.accumulo/accumulo-tserver,org.apache.accumulo/accumulo-tserver/2.0.0
org.apache.commons/commons-configuration2,org.apache.commons/commons-configuration2/2.5
org.apache.commons/commons-lang3,org.apache.commons/commons-lang3/3.9
org.apache.hadoop/hadoop-client-api,org.apache.hadoop/hadoop-client-api/3.1.1
org.apache.hadoop/hadoop-client-minicluster,org.apache.hadoop/hadoop-client-minicluster/3.1.1
org.apache.hadoop/hadoop-distcp,org.apache.hadoop/hadoop-distcp/3.1.1
org.apache.hadoop/hadoop-minikdc,org.apache.hadoop/hadoop-minikdc/3.1.1
org.apache.htrace/htrace-core,org.apache.htrace/htrace-core/3.2.0-incubating
org.apache.thrift/libthrift,org.apache.thrift/libthrift/0.12.0
org.apache.zookeeper/zookeeper,org.apache.zookeeper/zookeeper/3.4.14
org.bouncycastle/bcpkix-jdk15on,org.bouncycastle/bcpkix-jdk15on/1.62
org.bouncycastle/bcprov-jdk15on,org.bouncycastle/bcprov-jdk15on/1.62
org.easymock/easymock,org.easymock/easymock/4.0.2
org.hamcrest/hamcrest,org.hamcrest/hamcrest/2.1
org.slf4j/slf4j-api,org.slf4j/slf4j-api/1.7.26
org.apache.hadoop/hadoop-client-runtime,org.apache.hadoop/hadoop-client-runtime/3.1.1
org.apache.accumulo/accumulo-iterator-test-harness,org.apache.accumulo/accumulo-iterator-test-harness/2.0.0
org.slf4j/slf4j-log4j12,org.slf4j/slf4j-log4j12/1.7.26
