com.atomikos/transactions-jdbc,com.atomikos/transactions-jdbc/4.0.6
org.jooq/jooq,org.jooq/jooq/3.11.11
org.liquibase/liquibase-core,org.liquibase/liquibase-core/3.7.0
org.messaginghub/pooled-jms,org.messaginghub/pooled-jms/1.0.6
org.mongodb/mongodb-driver-async,org.mongodb/mongodb-driver-async/3.11.0-rc0
org.mongodb/mongodb-driver-reactivestreams,org.mongodb/mongodb-driver-reactivestreams/1.12.0-rc0
org.quartz-scheduler/quartz,org.quartz-scheduler/quartz/2.3.1
org.springframework/spring-jdbc,org.springframework/spring-jdbc/5.2.0.RC1
org.springframework/spring-jms,org.springframework/spring-jms/5.2.0.RC1
org.springframework/spring-orm,org.springframework/spring-orm/5.2.0.RC1
org.springframework/spring-tx,org.springframework/spring-tx/5.2.0.RC1
org.springframework/spring-web,org.springframework/spring-web/5.2.0.RC1
org.springframework/spring-websocket,org.springframework/spring-websocket/5.2.0.RC1
org.springframework/spring-webflux,org.springframework/spring-webflux/5.2.0.RC1
org.springframework/spring-webmvc,org.springframework/spring-webmvc/5.2.0.RC1
org.springframework.amqp/spring-rabbit,org.springframework.amqp/spring-rabbit/2.2.0.M4
org.springframework.batch/spring-batch-core,org.springframework.batch/spring-batch-core/4.2.0.M3
org.springframework.boot/spring-boot,org.springframework.boot/spring-boot/2.2.0.M5
org.springframework.boot/spring-boot-autoconfigure-processor,org.springframework.boot/spring-boot-autoconfigure-processor/2.2.0.M5
org.springframework.boot/spring-boot-configuration-processor,org.springframework.boot/spring-boot-configuration-processor/2.2.0.M5
org.springframework.cloud/spring-cloud-spring-service-connector,org.springframework.cloud/spring-cloud-spring-service-connector/2.0.6.RELEASE
org.springframework.data/spring-data-couchbase,org.springframework.data/spring-data-couchbase/3.2.0.RC2
org.springframework.data/spring-data-jpa,org.springframework.data/spring-data-jpa/2.2.0.RC2
org.springframework.data/spring-data-rest-webmvc,org.springframework.data/spring-data-rest-webmvc/3.2.0.RC2
org.springframework.data/spring-data-cassandra,org.springframework.data/spring-data-cassandra/2.2.0.RC2
org.springframework.data/spring-data-jdbc,org.springframework.data/spring-data-jdbc/1.1.0.RC2
org.springframework.data/spring-data-ldap,org.springframework.data/spring-data-ldap/2.2.0.RC2
org.springframework.data/spring-data-mongodb,org.springframework.data/spring-data-mongodb/2.2.0.RC2
org.springframework.data/spring-data-neo4j,org.springframework.data/spring-data-neo4j/5.2.0.RC2
org.springframework.data/spring-data-redis,org.springframework.data/spring-data-redis/2.2.0.RC2
org.springframework.data/spring-data-elasticsearch,org.springframework.data/spring-data-elasticsearch/3.2.0.RC2
org.springframework.data/spring-data-solr,org.springframework.data/spring-data-solr/4.1.0.RC2
org.springframework.hateoas/spring-hateoas,org.springframework.hateoas/spring-hateoas/1.0.0.RC1
org.springframework.integration/spring-integration-core,org.springframework.integration/spring-integration-core/5.2.0.M4
org.springframework.integration/spring-integration-jdbc,org.springframework.integration/spring-integration-jdbc/5.2.0.M4
org.springframework.integration/spring-integration-jmx,org.springframework.integration/spring-integration-jmx/5.2.0.M4
org.springframework.kafka/spring-kafka,org.springframework.kafka/spring-kafka/2.3.0.M4
org.springframework.security/spring-security-acl,org.springframework.security/spring-security-acl/5.2.0.M4
org.springframework.security/spring-security-config,org.springframework.security/spring-security-config/5.2.0.M4
org.springframework.security/spring-security-data,org.springframework.security/spring-security-data/5.2.0.M4
org.springframework.security/spring-security-oauth2-client,org.springframework.security/spring-security-oauth2-client/5.2.0.M4
org.springframework.security/spring-security-oauth2-jose,org.springframework.security/spring-security-oauth2-jose/5.2.0.M4
org.springframework.security/spring-security-oauth2-resource-server,org.springframework.security/spring-security-oauth2-resource-server/5.2.0.M4
org.springframework.security/spring-security-web,org.springframework.security/spring-security-web/5.2.0.M4
org.springframework.session/spring-session-core,org.springframework.session/spring-session-core/2.2.0.M3
org.springframework.session/spring-session-data-mongodb,org.springframework.session/spring-session-data-mongodb/2.2.0.RC1
org.springframework.session/spring-session-data-redis,org.springframework.session/spring-session-data-redis/2.2.0.M3
org.springframework.session/spring-session-hazelcast,org.springframework.session/spring-session-hazelcast/2.2.0.M3
org.springframework.session/spring-session-jdbc,org.springframework.session/spring-session-jdbc/2.2.0.M3
org.springframework.ws/spring-ws-core,org.springframework.ws/spring-ws-core/3.0.7.RELEASE
org.thymeleaf/thymeleaf,org.thymeleaf/thymeleaf/3.0.11.RELEASE
org.thymeleaf/thymeleaf-spring5,org.thymeleaf/thymeleaf-spring5/3.0.11.RELEASE
org.thymeleaf.extras/thymeleaf-extras-java8time,org.thymeleaf.extras/thymeleaf-extras-java8time/3.0.4.RELEASE
org.thymeleaf.extras/thymeleaf-extras-springsecurity5,org.thymeleaf.extras/thymeleaf-extras-springsecurity5/3.0.4.RELEASE
redis.clients/jedis,redis.clients/jedis/3.1.0
